"subject","danish","trial","colour1","colour2","col1_name","col2_name","colour_distance","category","accuracy","rt"
31,"Yes",104,"[1, -0.7, -0.4]","[1, -0.4, 0.19999999999999996]","pink","pink",0.6,"within",1,456.593991999398
31,"Yes",105,"[1, -0.925, -0.85]","[1, -0.775, -0.55]","red","red",0.3,"within",1,495.910824989551
31,"Yes",106,"[1, -0.7, -0.4]","[1, -0.32500000000000007, 0.34999999999999987]","pink","pink",0.75,"within",1,491.205402999185
31,"Yes",107,"[1, -0.625, -0.25]","[1, -0.775, -0.55]","pink","red",0.3,"across",1,477.966032995027
31,"Yes",108,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.7, -0.4]","pink","pink",0.75,"within",1,738.692956991144
31,"Yes",109,"[1, -0.625, -0.25]","[1, -0.475, 0.050000000000000044]","pink","pink",0.3,"within",1,1200.27580700116
31,"Yes",110,"[1, -0.475, 0.050000000000000044]","[1, -0.55, -0.10000000000000009]","pink","pink",0.15,"within",1,981.153553992044
31,"Yes",111,"[1, -0.475, 0.050000000000000044]","[1, -0.625, -0.25]","pink","pink",0.3,"within",1,534.358466000413
31,"Yes",112,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.625, -0.25]","pink","pink",0.6,"within",1,529.965722002089
31,"Yes",113,"[1, -0.55, -0.10000000000000009]","[1, -0.32500000000000007, 0.34999999999999987]","pink","pink",0.45,"within",1,555.556438994245
31,"Yes",114,"[1, -0.4, 0.19999999999999996]","[1, -0.475, 0.050000000000000044]","pink","pink",0.15,"within",1,609.071209997637
31,"Yes",115,"[1, -1.0, -1.0]","[1, -0.475, 0.050000000000000044]","red","pink",1.05,"across",1,531.581030998495
31,"Yes",116,"[1, -0.625, -0.25]","[1, -0.4, 0.19999999999999996]","pink","pink",0.45,"within",1,488.480275002075
31,"Yes",117,"[1, -0.475, 0.050000000000000044]","[1, -1.0, -1.0]","pink","red",1.05,"across",1,457.155135009089
31,"Yes",118,"[1, -0.775, -0.55]","[1, -0.7, -0.4]","red","pink",0.15,"across",1,468.25911499036
