,subject,danish,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
162,PernilleKJ,Yes,163,"[1, -0.475, 0.050000000000000044]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.2999999999999998,within,1,1083.3951979875565
163,PernilleKJ,Yes,164,"[1, -0.775, -0.55]","[1, -0.55, -0.10000000000000009]",pink,pink,0.44999999999999996,within,1,505.87667198851705
164,PernilleKJ,Yes,165,"[1, -0.625, -0.25]","[1, -0.775, -0.55]",pink,pink,0.30000000000000004,within,1,759.0711649972945
165,PernilleKJ,Yes,166,"[1, -1.0, -1.0]","[1, -0.625, -0.25]",red,pink,0.75,across,1,516.6141969966702
166,PernilleKJ,Yes,167,"[1, -0.775, -0.55]","[1, -1.0, -1.0]",pink,red,0.44999999999999996,across,1,646.3738830061629
167,PernilleKJ,Yes,168,"[1, -0.4, 0.19999999999999996]","[1, -0.7, -0.4]",pink,pink,0.6,within,1,523.1176019879058
168,PernilleKJ,Yes,169,"[1, -0.625, -0.25]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.5999999999999999,within,1,567.3307310207747
169,PernilleKJ,Yes,170,"[1, -0.4, 0.19999999999999996]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.1499999999999999,within,1,537.8553780028597
170,PernilleKJ,Yes,171,"[1, -1.0, -1.0]","[1, -0.925, -0.85]",red,red,0.15000000000000002,within,1,2773.9679840160534
171,PernilleKJ,Yes,172,"[1, -1.0, -1.0]","[1, -0.775, -0.55]",red,pink,0.44999999999999996,across,1,667.7479150239378
172,PernilleKJ,Yes,173,"[1, -0.7, -0.4]","[1, -0.85, -0.7]",pink,red,0.29999999999999993,across,1,544.7362089762464
173,PernilleKJ,Yes,174,"[1, -0.7, -0.4]","[1, -0.775, -0.55]",pink,pink,0.15000000000000002,within,1,697.5639080046676
174,PernilleKJ,Yes,175,"[1, -0.625, -0.25]","[1, -0.55, -0.10000000000000009]",pink,pink,0.1499999999999999,within,1,1073.2236810144968
175,PernilleKJ,Yes,176,"[1, -0.55, -0.10000000000000009]","[1, -0.925, -0.85]",pink,red,0.7499999999999999,across,1,571.5582460397854
176,PernilleKJ,Yes,177,"[1, -0.925, -0.85]","[1, -0.625, -0.25]",red,pink,0.6,across,1,763.8576800236478
177,PernilleKJ,Yes,178,"[1, -0.775, -0.55]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.8999999999999999,within,1,562.0296039851382
178,PernilleKJ,Yes,179,"[1, -0.85, -0.7]","[1, -0.32500000000000007, 0.34999999999999987]",red,pink,1.0499999999999998,across,1,619.0403560176492
179,PernilleKJ,Yes,180,"[1, -0.4, 0.19999999999999996]","[1, -0.475, 0.050000000000000044]",pink,pink,0.1499999999999999,within,1,1442.2321420279332
